,Time,Sim1,Sim2,Sim3
4563,22 March 1929,Sonny Simmons,Revolutionary Ensemble,Frank Wright
4564,,The Kandinsky Effect,Contemporary Noise Sextet,The Thing
4565,16 April 1959 (age 63),Chris Speed,Fred Anderson,Marty Ehrlich
4566,,Henry Threadgill's Zooid,Joseph Jarman,Hilmar Jensson
4567,28 April 1936,Revolutionary Ensemble,Frank Lowe,Joseph Jarman
4568,1991 – 2007 (16 years),Yowie,Cecil Taylor,Ruins
4569,1982 – 1990 (8 years),C.S.I.,Diaframma,Offlaga Disco Pax
4570,,A Fashionable Disease,Pig Dogs,Diatribes
4571,,"Hamid Drake, Albert Beger, William Parker",Vinny Golia Quartet,The Flatlands Collective
4572,6 March 1941 (age 81),Anthony Braxton,Albert Ayler,Evan Parker
4573,1992 – present (30 years),Obscura,The Faceless,Beyond Creation
4574,1995 – present (27 years),Pyramaze,Redemption,James LaBrie
4575,,Symphony X,DGM,Circus Maximus
4576,,Caravan,Gentle Giant,Yes
4577,1999 – present (23 years),Soreption,Origin,Revocation
4578,5 March 1972 (age 50),Rhapsody,Luca Turilli's Dreamquest,Luca Turilli's Rhapsody
4579,,Blaze Bayley,Bruce Dickinson,Halford
4580,,Circus Maximus,Spheric Universe Experience,Redemption
4581,2006 – present (16 years),Время И Стекло,Банд'эрос,Бьянка
4582,23 April 1977 (age 45),Dan Balan,Akcent,Bosson
4583,2007 – present (15 years),Виктория Дайнеко,5sta Family,Юлианна Караулова
4584,10 June 1983 (age 39),Юлия Савичева,Винтаж,Виктория Дайнеко
4585,,Евгения Отрадная,Шпильки,Таня
4586,1990 – present (32 years),In the Woods...,Psychotic Waltz,Pain of Salvation
4587,1990 – present (32 years),Paradise Lost,Novembers Doom,Saturnus
4588,1997 – 2009 (12 years),The Foreshadowing,Novembre,Cemetary
4589,1995 – present (27 years),Witherscape,Dan Swanö,Edge of Sanity
4590,,Imago Mortis,Silent Cry,Mythological Cold Towers
4591,1998 – present (24 years),Arcturus,Solefald,Manes
4592,20 September 1977 (age 45),Trey Songz,J. Holiday,Pretty Ricky
4593,12 January 1976 (age 46),Yuridia,Gloria Trevi,Paty Cantú
4594,8 December 1983 (age 39),Mariana Seoane,Adrianna Foster,Pambo
4595,,Carolina Soto,Ximena Abarca,La Nueva Banda Timbiriche
4596,2005 – present (17 years),Paty Cantú,La Quinta Estación,Belanova
4597,13 February 1979 (age 43),Ana Tijoux,SFDK,Violadores del Verso
4598,8 May 1956 (age 66),Mónica Naranjo,Paulina Rubio,Thalía
4599,2009 – present (13 years),Belanova,Paty Cantú,Playa Limbo
4600,13 July 1979 (age 43),Little Boots,The Ting Tings,Metric
4601,1993 – present (29 years),Sugababes,Appleton,Girls Aloud
4602,8 November 1982 (age 40),Frankmusik,The Presets,Bright Light Bright Light
4603,10 October 1991 (age 31),KT Tunstall,Alesha Dixon,Girls Aloud
4604,28 November 1985 (age 37),Anavitória,Silva,Sandy
4605,19 December 1980 (age 41),Maria Rita,Mariana Aydar,Maria Bethânia
4606,28 December 1978 (age 43),Anthony Hamilton,Musiq,Alicia Keys
4607,22 January 1980 (age 42),Melody Gardot,Cassandra Wilson,Jane Monheit
4608,,moana viterbo,Thiago Grulha,Livre Arbítrio
4609,,Richgirl,Mashonda,Black Buddafly
4610,10 February 1976 (age 46),Marisa Monte,Adriana Calcanhotto,Ana Carolina
4611,19 October 1978 (age 44),Céu,Karina Buhr,Marcelo Jeneci
4612,17 September 1979 (age 43),Drik Barbosa,IZA,Malía
4613,1998 – present (24 years),Soulwax,Les Rythmes Digitales,Money Mark
4614,1983 – present (39 years),Guana Batz,The Meteors,Demented Are Go!
4615,1998 – present (24 years),The Ventures,Merv Griffin,Нож Для Frau Müller
4616,1980 – present (42 years),Demented Are Go!,Batmobile,Guana Batz
4617,1974 (age 48),Miss Kittin,Felix da Housecat,Fischerspooner
4618,,Black Devil Disco Club,Joakim,Simian Mobile Disco
4619,31 July 1975 (age 47),Justice,Carpenter Brut,Sebastian
4620,18 May 1976 (age 46),Etienne de Crécy,Digitalism,Birdy Nam Nam
4621,2003 – present (19 years),Husky Rescue,Martina Topley-Bird,Lovage
4622,1998 – present (24 years),Miss Kittin,Minitel Rose,Miss Kittin & The Hacker
4623,,Justice,Mr. Oizo,DJ Mehdi
4624,16 October 1972 (age 50),Lulu Rouge,Moderat,Booka Shade
4625,1999 – present (23 years),Holy Ghost!,Cut Copy,Hot Chip
4626,,La Sera,Dum Dum Girls,Veronica Falls
4627,2001 – 2012 (11 years),Submersed,Fuel,Edgewater
4628,,Cevilain,Awaken I Am,Self Deception
4629,,Shelflyfe,OverScene,Ages Apart
4630,,David Hodges,Jonah33,38th Parallel
4631,2001 – present (21 years),Just Surrender,Hit the Lights,Amber Pacific
4632,,Feeder,Charlotte Hatherley,Idlewild
4633,1998 – present (24 years),Ever Stays Red,Lucerin Blue,East West
4634,2008 – present (14 years),Augustana,SafetySuit,David Cook
4635,2000 – present (22 years),Rush Of Fools,Charlie Hall,Tree63
4636,1996 – present (26 years),MercyMe,Newsboys,Big Daddy Weave
4637,1999 – present (23 years),The Letter Black,Rebecca St. James,BarlowGirl
4638,,Tomoya Ohtani,Jun Senoue,Kenichi Tokoi
4639,,StorySide:B,Justifide,High Flight Society
4640,12 January 1978 (age 44),MercyMe,Casting Crowns,Matthew West
4641,,3 Pill Morning,Plan Three,Our Waking Hour
4642,,TRACK OF TIME,Sixty to Zero,Defiance Pointe
4643,1996 – present (26 years),Am Radio,Steadman,July For Kings
4644,,Wasting Days,Signum A.D.,Year And A Day
4645,1996 – 2003 (7 years),No Address,Familiar 48,Systematic
4646,2002 – present (20 years),Amber Pacific,Go Radio,Every Avenue
4647,,Rattle Cloud,Dearanna,Dream Life Misery
4648,2007 – present (15 years),Fee,Todd Agnew,By The Tree
4649,,Don Martin Three,Breakwater,Yaphet Kotto
4650,2006 – present (16 years),Art of Dying,Nine Lashes,Prime Circle
4651,,New Life Worship,Hillsong London,Jared Anderson
4652,1998 – present (24 years),Cartel,Anberlin,The Starting Line
4653,2004 – 2008 (4 years),Trencher,2 0' Clock Girlfriend,The Post Office Gals
4654,,Chasing Corona,Seven Story Drop,The Vital Side
4655,,Natalia Lesz,Patricia Kazadi,Candy Girl
4656,22 July 1986 (age 36),BARANOVSKI,Krzysztof Zalewski,Dawid Podsiadło
4657,21 January 1985 (age 37),Medina,Lena,Sarah Connor
4658,22 March 1982 (age 40),3R,Robert M & Dirty Rush,Robert M feat. Nicco
4659,14 January 1984 (age 38),Verba,Sumptuastic,Farba
4660,,Natalia Lesz,Candy Girl,Sabrina Washington
4661,10 January 1974 (age 48),Colin O'Malley,Troels Brun Folmann,Core Design Ltd
4662,1993 – present (29 years),Junkies,Depresszió,The Grenma
4663,31 July 1988 (age 34),Jessie Daniels,Addison Road,Stephanie Smith
4664,,Sienna Skies,Aspirin Rose,blessthefall
4665,18 July 1980 (age 42),Ashley Wallbridge,Dash Berlin,Cosmic Gate
4666,,Manafest,Becko,Deuce
4667,1999 – present (23 years),Road,Alvin és a Mókusok,Junkies
4668,29 August 1956,Fear,T.S.O.L.,Reagan Youth
4669,11 May 1976 (age 46),Hail Mary Mallon,Rob Sonic,El-P
4670,10 January 1943,Gordon Lightfoot,Harry Chapin,James Taylor
4671,,Last Days of Humanity,Extreme Noise Terror,Cock and Ball Torture
4672,18 May 1949 (age 73),Yes,Jon Anderson,Steve Howe
4673,,Bear Ghost,Tub Ring,Rob Cantor
4674,1970 – 2011 (41 years),Keith Emerson,Yes,Gentle Giant
4675,1958 – present (64 years),Dick Dale,The Shadows,The Lively Ones
4676,2000 – present (22 years),Living Legends,Grieves,Tonedeff
4677,1984 – 1994 (10 years),Pestilence,Gorguts,Demilich
4678,1993 – present (29 years),Alarum,Theory In Practice,Continuo Renacer
4679,15 February 1975 (age 47),Psychostick,GWAR,Little V.
4680,1970 – 1980 (9 years),Van der Graaf Generator,Caravan,"Emerson, Lake & Palmer"
4681,1980 – present (42 years),D.F.C.,Surra,Mukeka di Rato
4682,,999,UK Subs,The Adverts
4683,1999 – 2019 (20 years),Bidê ou Balde,Tequila Baby,Wander Wildner
4684,2002 – present (20 years),Lich King,Toxic Holocaust,Vio-Lence
4685,1970 – 1974 (4 years),Jonathan Richman,Jonathan Richman And The Modern Lovers,Richard Hell and the Voidoids
4686,28 September 1942,Jorge Ben,Cassiano,Cartola
4687,1994 – 2008 (14 years),Reffer,Noção de Nada,Nitrominds
4688,,Zé Ramalho & Sepultura,Cachorro Grande e Nando Reis,Bandas Gaúchas
4689,,Superguidis,Graforréia Xilarmônica,Frank Jorge
4690,1993 – present (29 years),Marcelo D2,Black Alien,Sabotage
4691,1987 – present (35 years),Frank Jorge,Os Cascavelletes,Cowboys Espirituais
4692,13 July 1984 (age 38),Dirty Pretty Things,The Rumble Strips,Air Traffic
4693,,D.R.I.,M.O.D.,Nuclear Assault
4694,,Lixomania,Restos de Nada,Calibre 12
4695,1978 – present (44 years),The Casualties,GBH,Chaos UK
4696,1 April 1902,Candeia,Jorge Veiga,Paulinho da Viola
4697,1971 – 2011 (40 years),Johnny Thunders & The Heartbreakers,Johnny Thunders,Richard Hell and the Voidoids
4698,,Teófilo,Bia e os Becks,Narguilé Hidromecânico
4699,,Radio Birdman,The Dictators,The Ruts
4700,,Rose Elinor Dougall,Lucky Soul,The Long Blondes
4701,11 January 1997 (age 25),Austin Mahone,Jake Miller,Emblem3
4702,2000 – 2011 (11 years),Dappy,Tinchy Stryder,Chip
4703,4 October 1984 (age 38),Molly Hunt,Ellem,Bo Bruce
4704,15 August 1986 (age 36),Cruel Youth,Kerli,Porcelain Black
4705,24 July 1968 (age 54),Carole Shelley,Idina Menzel,Joel Grey
4706,,No Mana,Morgin Madison,KINDRID
4707,1996 – present (26 years),Amaia Montero,La Quinta Estación,Amaral
4708,12 January 1963 (age 59),Cássia Eller,Leoni,Skank
4709,25 June 1971 (age 51),Pato Fu,Adriana Calcanhotto,Zélia Duncan
4710,1990 – present (32 years),No Use for a Name,Bad Astronaut,Millencolin
4711,1983 – present (39 years),Lagwagon,No Use for a Name,Pennywise
4712,1987 – 2012 (25 years),Lagwagon,Good Riddance,Millencolin
4713,,Dibob,Darvin,Sugar Kane
4714,1994 – present (28 years),MxPx,Much the Same,Rufio
4715,1979 – present (43 years),Olho Seco,Gritando HC,Inocentes
4716,2001 – 2007 (6 years),Fenix TX,New Found Glory,Mest
4717,1995 – present (27 years),NOFX,Lagwagon,No Use for a Name
4718,,BRAZA,Scracho,Dibob
4719,,Fistt,Rivets,Under Line
4720,1995 – present (27 years),This Is A Standoff,Mute,Satanic Surfers
4721,,Aditive,Envydust,Drive-In
4722,1996 – 2006 (10 years),Allister,MxPx,New Found Glory
4723,1992 – present (30 years),Reel Big Fish,Goldfinger,The Mighty Mighty Bosstones
4724,,Gramofocas,Magaivers,Fistt
4725,2000 – 2006 (6 years),Lagwagon,No Use for a Name,Strung Out
4726,1995 – present (27 years),MxPx,Allister,The Ataris
4727,1999 – present (23 years),New Found Glory,Cartel,Something Corporate
4728,2002 – 2004 (2 years),Raimundos,Dead Fish,Tihuana
4729,,A-OK,Noção de Nada,Display
4730,,Aditive,Emo.,Fistt
4731,"Rio Grande do Sul, Brazil",Cueio Limão,CPM 22,Dead Fish
4732,,Calibre 12,Holly Tree,Street Bulldogs
4733,,Switch Stance,Plastic Fire,Dillema
4734,,Cueio Limão,Dibob,Sugar Kane
4735,,Gritando HC,Flicts,Mukeka di Rato
4736,,Carbona,Street Bulldogs,Nitrominds
4737,,Strung Out,Lagwagon,No Use for a Name
4738,,Blind Pigs,Cólera,Os Pedrero
4739,1981 – present (41 years),Os Paralamas Do Sucesso,Capital Inicial,Titãs
4740,,NX Zero,Forfun,Cine
4741,2 April 1971 (age 51),Mou Brasil,Burns Twins,PU$$EIDXN
4742,1993 – present (29 years),The Mighty Bop,Rainstick Orchestra,Bobby Hughes Combination
4743,,Amon Tobin,Funki Porcini,DJ Food
4744,1976 (age 46),Ametsub,Frank Bretschneider,Ryoji Ikeda
4745,1993 – present (29 years),Zorge,Optimystica Orchestra,S.P.O.R.T.
4746,,Epstein,Malcom Kipe,The Opus
4747,24 August 1984 (age 38),Martin Schulte,Pulshar,Intrusion
4748,,os1R!s,y-ring,Fellirium
4749,,Alissid Jazz,Детский Панадолл,Lюк
4750,1976 (age 46),Moskitoo,RATN,Fonica
4751,"Massachusetts, United States",Aaron Spectre,Bong-Ra,Ruby My Dear
4752,1997 – 2007 (10 years),QARPA,Фактично Самі,Гудімов
4753,15 April 1960 (age 62),9 Lazy 9,DJ Food,London Funk Allstars
4754,,Re:Jazz Feat. Lissa Bassenge,Sidsel Endresen & Bugge Wesseltoft,Third Eye A.K.A Nicola Conte
4755,1996 – present (26 years),Arovane,Proem,Gimmik
4756,4 March 1974 (age 48),Mamonas Assassinas,Planet Hemp,Marcelo D2
4757,,Liah,Sandy Leah,Mariana Rios
4758,26 June 1984 (age 38),Isabella Taviani,Paula Toller,Marjorie Estiano
4759,1985 – present (37 years),Bamdamel,Banda Eva,Daniela Mercury
4760,3 May 1987 (age 35),Offer Nissim,Wanessa,Kasino
4761,1989 – present (33 years),Covenant,Apoptygma Berzerk,Solitary Experiments
4762,1985 – present (37 years),Diary of Dreams,Project Pitchfork,Qntal
4763,2004 – present (18 years),Combichrist,Icon of Coil,Suicide Commando
4764,1996 – present (26 years),System Syn,Assemblage 23,Rotersand
4765,13 November 1967 (age 55),Mentallo & The Fixer,:Wumpscut:,Front 242
4766,1992 – present (30 years),Project Pitchfork,Covenant,Dismantled
4767,1993 – present (29 years),In Strict Confidence,Absurd Minds,Suicide Commando
4768,2001 – 2015 (14 years),Fin.K.L,손담비,SECHSKIES
4769,22 July 1992 (age 30),Steve Rushton,KSM,Tiffany Thornton
4770,18 May 1962 (age 60),C.C. Catch,Bad Boys Blue,Blue System
4771,,Evan Taubenfeld,Gyselle Soares,Marcia Goldschmidt
4772,,Miley Cyrus猀,Rihanna湡,Yolanda B Cool & D Cup낮
4773,1991 – present (31 years),Aaliyah,Janet Jackson,Monica
4774,,Yarabi,Nexx,Alex C. Feat. Y-Ass
4775,2008 – 2010 (2 years),Girls Aloud,Sugababes,Rachel Stevens
4776,,,,
4777,1984 – 2008 (23 years),Коммунизм,Егор Летов,Янка Дягилева
4778,,Диета!,xJihadx,Проверочная Линейка
4779,,Оля и Монстр,Елена Войнаровская,Немного Нервно
4780,,25/17,D-Man 55,Триада
4781,,Neversmile,Multipass,Ideя Fix
4782,,Нигатив,Зануда,Триада
4783,21 October 1983 (age 39),Krec,Триада,Нигатив
4784,,inShe,Сегодня Ночью,Друзья
4785,4 September 1966,Гражданская Оборона,Егор Летов,Коммунизм
4786,1996 – present (26 years),Лёха Никонов,Свиньи В Космосе,Poslednie Tanki V Parizhe
4787,1981 – present (41 years),Гран-Куражъ,Сергей Маврин,Артур Беркут
4788,,From Autumn to Ashes,Before Their Eyes,Aiden
4789,,Сангу Дэ Сао,Ганза,Джонни
4790,,Лигалайз + П-13,MC Молодой,F.Y.P.M.
4791,1990 – 1993 (3 years),Егор И Сергей Летовы,Опизденевшие,Посев
4792,1998 – present (24 years),Макс ИвАнов,Полюса,После 11
4793,,Давид,"Стриж feat. Slim, Ай-Q",Centr feat. Fame
4794,,Злой Ой!,Klowns,Red Card
4795,,Сегодняночью,Tequilajazzz,Ундервуд
4796,2003 – present (19 years),Ночные Снайперы,Диана Арбенина,Моя Дорогая
4797,,Klowns,Узники Совести,Не Хочешь - Не Слушай!
4798,,The Glue,Round Hills,пионерлагерь пыльная радуга
4799,,Silence Dead,,
4800,1988 – present (34 years),Чёрный Обелиск,Мастер,Ария
4801,1998 – present (24 years),Distemper,Spitfire,Яйцы Fаберже
4802,1998 – present (24 years),Unheilig,Blutengel,Asp
4803,1882 (age 140),Wiener Philharmoniker,Boston Symphony Orchestra,Anne-Sophie Mutter
4804,2002 – present (20 years),Нуки,Tracktor Bowling,Louna
4805,19 June 1962 (age 60),Exposé,Taylor Dayne,Pebbles
4806,,Герман,Gera,Ольга Плотникова
4807,12 June 1967 (age 55),Hans Zimmer,James Newton Howard,Steve Jablonsky
4808,1952 (age 70),Patrick Doyle,Alexandre Desplat,John Williams
4809,29 May 1956 (age 66),Rebbie Jackson,Cherrelle,Jody Watley
4810,14 August 1953,Jerry Goldsmith,James Newton Howard,Alan Silvestri
4811,20 May 1964 (age 58),Nathan Lane,Carmen Twillie,Liz Callaway
4812,6 December 1950 (age 72),野見祐二,Azumi Inoue,倍賞千恵子
4813,23 August 1961 (age 61),Nicholas Hooper,Patrick Doyle,James Newton Howard
4814,,Camila Bordonaba,Benjamín Rojas,La Miss Tijuana
4815,,Nicole Richie,Myah Marie,Jim Verraros
4816,,Согдиана,Инь-Ян,Планка
4817,6 April 1953 (age 69),Nicholas Hooper,Alexandre Desplat,John Williams
4818,9 September 1959 (age 63),John Barry,Thomas Newman,David Arnold
4819,23 June 1969 (age 53),Ирина Богушевская,Ofra Haza,Dana International
4820,,Elton John / Hans Zimmer / Lebo M / South African Chorus,"Cam Clarke, Charity Sanoy, Ladysmith Black Mambazo, Chorus",Elton John & Hans Zimmer & Lebo M. & South African Chorus
4821,30 May 1971 (age 51),Apocalyptica,Tides From Nebula,David Garrett
4822,29 May 1950 (age 72),La Toya Jackson,Jermaine Jackson,Michael Jackson
4823,,Celph Titled,Vinnie Paz,Ill Bill
4824,2001 – present (21 years),The Last Ten Seconds of Life,Animosity,All Shall Perish
4825,2005 – present (17 years),Oceano,Carnifex,Rose Funeral
4826,2005 – 2012 (7 years),See You Next Tuesday,Arsonists Get All the Girls,Annotations of an Autopsy
4827,2004 – 2012 (7 years),Until We Die,Mental Cruelty,Angelmaker
4828,,Emmure,Upon a Burning Body,Chelsea Grin
4829,2004 – present (18 years),Sea Of Treachery,Salt the Wound,The Autumn Offering
4830,2005 – present (17 years),See You Next Tuesday,Ion Dissonance,PsyOpus
4831,,"Dana Fuchs, Evan Rachel Wood, Jim Sturgess & T.V. Carpio",Dana Fuchs & Jim Sturgess,Moulin Rouge
4832,,Bleed from Within,Attila,Betraying the Martyrs
4833,2002 – 2019 (17 years),Rose Funeral,I Declare War,Oceano
4834,2004 – present (18 years),Oceano,I Declare War,Carnifex
4835,,In the Midst of Lions,The Red Shore,Rose Funeral
4836,2004 – 2012 (8 years),Ion Dissonance,Car Bomb,See You Next Tuesday
4837,2007 – present (15 years),Stick to Your Guns,Rise Of The Northstar,Lionheart
4838,2002 – present (20 years),7 Angels 7 Plagues,Counterparts,For the Fallen Dreams
4839,1990 – present (32 years),Daylight Dies,Katatonia,October Tide
4840,,Hesperos,Cawatana,Belborn
4841,2000 – present (22 years),The Tiger Lillies,Earl,Серебряная Свадьба
4842,2003 – present (19 years),Finntroll,Korpiklaani,Månegarm
4843,1992 – present (30 years),Marco Parente,Artemoltobuffa,Babalot
4844,1992 – present (30 years),Hatebeak,Anal Nosorog,Pigsty
4845,7 September 1951,Franco Battiato,Renato Zero,Milva
4846,,Secrets of the Moon & Nostalgia,Imperial Black,Canaan
4847,1992 – present (30 years),Varunna,IANVA,Lux Interna
4848,1993 – present (29 years),Hiroshima Mon Amour,Cadabra,aus decline
4849,,:Of the Wand & the Moon:,Ordo Rosarius Equilibrio,Darkwood
4850,1998 – present (24 years),Umbra Nihil,My Shameful,Void of Silence
4851,1992 – present (30 years),Dolorian,Bethlehem,Skepticism
4852,27 March 1980 (age 42),Lùnapop,Jovanotti,Negramaro
4853,2003 – 2015 (12 years),Baustelle,C.S.I.,CCCP – Fedeli Alla Linea
4854,2000 – present (22 years),Ornaments of Sin,Crux Dissimulata,Blutschrei
4855,1999 – present (23 years),Cattle Decapitation,Benighted,Aborted
4856,,Cawatana,Ghosts of Breslau,A Challenge of Honour
4857,18 March 1953 (age 69),Diana Est,Alberto Camerini,Heather Parisi
4858,,,,
4859,6 October 1972 (age 50),Tim Bowness,Steven Wilson,Anneke van Giersbergen
4860,2002 – present (20 years),Hate Forest,Blood of Kingu,Kroda
4861,1998 – present (24 years),Norther,Mors Principium Est,Eternal Tears of Sorrow
4862,14 February 1960 (age 62),Armand Amar,Zbigniew Preisner,Brendan Perry
4863,,C.S.I.,Diaframma,Marlene Kuntz
4864,18 February 1960 (age 62),Den Harrow,Fancy,Valerie Dore
4865,1985 – present (37 years),Mr. Mister,Starship,The Outfield
4866,16 May 1951 (age 71),Vasco Rossi,Riccardo Cocciante,Lucio Battisti
4867,15 April 1962,Samantha Fox,Sydney Youngblood,Holly Johnson
4868,1982 – 1989 (7 years),Starship,John Waite,Mike & The Mechanics
4869,,Cee Farrow,Secession,Nine Ways To Win
